"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVK","Slovak Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,6.7,,
"SVK","Slovak Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,6.8,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,16.2,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,16.3,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,16.1,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,15.8,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,15.6,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,15.5,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,15.6,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,15.5,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,16.1,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,16.8,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,16.9,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,17.1,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,16.9,,
"ESP","Spain","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,17.2,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,12.6,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,12.5,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,12.3,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,12.3,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,12.3,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,12.2,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,12.2,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,11.9,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,13,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,14,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,14.1,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,14.6,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,14.9,,
"ESP","Spain","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,15.3,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,14.3,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,14.3,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,14.1,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,14,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,13.8,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,13.7,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,13.8,,
"ESP","Spain","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,13.6,,
